CPDBID,Name/Model,Era,Year,"Technology Base",Chassis,"Rules Level (Current)",Tonnage,Designer,"Battle Value",Cost,Rating
2952,"Annihilator C 2","Early Succession Wars",2850,Clan,Biped,"Tournament Legal",100,"Catalyst Game Labs",2722,9541167,-----
4242,"Antlion LK-3D",Republic,3117,"Inner Sphere (Mixed)",Quad,Advanced,45,"Catalyst Game Labs",859,8065625,-----
901,"Anubis ABS-3L","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",951,5114525,2.583333
4260,"Anubis ABS-3MC",Jihad,3081,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",1074,5970640,-----
902,"Anubis ABS-3R","Civil War",3064,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",970,5231525,0.909091
903,"Anubis ABS-3T","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",1150,5440175,2.850000
4266,"Anubis ABS-4C",Jihad,3082,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",833,5200650,-----
4115,"Anubis ABS-5Y",Republic,3121,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",1042,5099900,-----
4114,"Anubis ABS-5Z",Republic,3124,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",1066,5203900,-----
620,"Anvil ANV-3M","Clan Invasion",3055,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1441,5856960,3.000000
798,"Anvil ANV-3R","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1496,5732160,3.285714
799,"Anvil ANV-5M","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1687,6372160,3.750000
800,"Anvil ANV-5Q","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1336,5548160,2.700000
3000,"Anvil ANV-6M","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1366,5872960,-----
1167,"Anvil ANV-8M","Clan Invasion",3060,"Inner Sphere",Biped,Advanced,60,"Catalyst Game Labs",1690,7108480,2.875000
4353,"Anzu ZU-G60",Republic,3098,"Inner Sphere",Biped,Advanced,60,"Catalyst Game Labs",1503,10836800,-----
4354,"Anzu ZU-J70",Republic,3106,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1680,10990800,-----
599,"Apollo APL-1M","Clan Invasion",3054,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1207,4680173,2.950000
778,"Apollo APL-1R","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1148,4370173,2.750000
779,"Apollo APL-2S","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1283,4754573,3.666667
780,"Apollo APL-3T","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1240,4708073,3.100000
3416,"Apollo APL-4M",Jihad,3083,"Inner Sphere",Biped,Advanced,55,"Catalyst Game Labs",1302,9514623,-----
3594,"Aquagladius AQS-3","Civil War",3065,"Inner Sphere",Biped,Advanced,50,"Catalyst Game Labs",834,8409750,-----
3227,"Aquagladius AQS-4","Civil War",3066,"Inner Sphere",Biped,Advanced,50,"Catalyst Game Labs",1486,9013500,-----
2699,Arbalest,Jihad,3077,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",1029,2440417,-----
2700,"Arbalest 2",Jihad,3079,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",1098,2440417,-----
4553,"Arbalest 3",Jihad,3081,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",921,2115417,-----
1000,Arcas,"Clan Invasion",3061,Clan,Biped,"Tournament Legal",65,"Catalyst Game Labs",2484,14688850,4.142857
1001,"Arcas 2","Clan Invasion",3061,Clan,Biped,"Tournament Legal",65,"Catalyst Game Labs",2835,14520550,4.312500
4340,"Arcas 3",Jihad,3078,Clan,Biped,"Tournament Legal",65,"Catalyst Game Labs",2305,16401055,-----
3296,"Archangel C-ANG-O (Berith)",Jihad,3072,"Inner Sphere",Biped,"Advanced (Extinct)",100,"Catalyst Game Labs",2060,23085000,-----
2912,"Archangel C-ANG-O Invictus",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal (Extinct)",100,"Catalyst Game Labs",2237,21765000,-----
2911,"Archangel C-ANG-O [BASE]",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal (Extinct)",100,"Catalyst Game Labs",1287,19230000,-----
3240,"Archangel C-ANG-OA Dominus",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal (Extinct)",100,"Catalyst Game Labs",2134,21750000,-----
3202,"Archangel C-ANG-OB Infernus",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal (Extinct)",100,"Catalyst Game Labs",2069,22225000,-----
3241,"Archangel C-ANG-OC Comminus",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal (Extinct)",100,"Catalyst Game Labs",2010,22268125,-----
3242,"Archangel C-ANG-OD Luminos",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal (Extinct)",100,"Catalyst Game Labs",2105,22423125,-----
3243,"Archangel C-ANG-OE Eminus",Jihad,3072,"Inner Sphere",Biped,"Tournament Legal (Extinct)",100,"Catalyst Game Labs",2097,21916250,-----
3321,"Archangel C-ANG-OS Caelestis",Jihad,3075,"Inner Sphere (Mixed)",Biped,"Tournament Legal (Extinct)",100,"Catalyst Game Labs",2026,21338750,-----
4668,"Archer (Wolf)","Clan Invasion",3055,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2365,8112173,-----
4864,"Archer ARC-1A","Age of War",2458,Primitive,Biped,"Advanced (Extinct)",70,"Catalyst Game Labs",1269,5642640,-----
83,"Archer ARC-2K","Early Succession Wars",2856,"Inner Sphere",Biped,Introductory,70,"Catalyst Game Labs",1356,5966773,3.892857
84,"Archer ARC-2R","Age of War",2474,"Inner Sphere",Biped,Introductory,70,"Catalyst Game Labs",1477,6180973,3.625000
4258,"Archer ARC-2R (Morgan)","Age of War",2474,"Inner Sphere",Biped,Introductory,70,"Catalyst Game Labs",1477,6180973,-----
2943,"Archer ARC-2Rb","Star League",2752,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1705,6876273,-----
85,"Archer ARC-2S","Late Succession Wars",2915,"Inner Sphere",Biped,Introductory,70,"Catalyst Game Labs",1393,6129973,3.590909
86,"Archer ARC-2W","Late Succession Wars",3022,"Inner Sphere",Biped,Introductory,70,"Catalyst Game Labs",1338,6197973,2.916667
378,"Archer ARC-4M","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1705,6944273,3.687500
379,"Archer ARC-5R","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1672,7083673,3.900000
448,"Archer ARC-5S","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1353,13218973,2.555556
381,"Archer ARC-5W","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1337,13218973,2.437500
1020,"Archer ARC-6S","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1694,11329565,3.583333
1021,"Archer ARC-6W","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1405,6044973,2.071429
1022,"Archer ARC-7L","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1881,7298270,3.625000
3950,"Archer ARC-7S",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1658,11405300,-----
1023,"Archer ARC-8M","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1759,7185673,3.357143
3923,"Archer ARC-9K",Jihad,3071,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1391,7042873,-----
5016,"Archer ARC-9KC",Republic,3089,"Inner Sphere",Biped,Advanced,70,"Catalyst Game Labs",1361,7348873,-----
3395,"Archer ARC-9M",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1811,11371640,-----
4666,"Archer ARC-9W",Jihad,3078,"Inner Sphere",Biped,Advanced,70,"Catalyst Game Labs",1774,21137007,-----
4667,"Archer C","Clan Invasion",3050,"Inner Sphere (Mixed)",Biped,"Tournament Legal",70,"Catalyst Game Labs",1721,6452973,-----
2558,"Arctic Fox AF [BASE]","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",426,4233125,-----
2559,"Arctic Fox AF1","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",983,5058300,3.111111
2560,"Arctic Fox AF1A","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",858,5064800,3.550000
2561,"Arctic Fox AF1B","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",735,4954463,2.562500
2562,"Arctic Fox AF1C","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",948,5011338,2.687500
2563,"Arctic Fox AF1D","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",744,4895800,2.000000
4170,"Arctic Fox AF1E",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",1094,5468125,-----
4171,"Arctic Fox AF1F",Jihad,3072,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",891,4977050,-----
4706,"Arctic Fox AF1U",Jihad,3072,"Inner Sphere",Biped,Advanced,30,"Catalyst Game Labs",821,5058463,-----
741,"Arctic Wolf","Clan Invasion",3059,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",1330,7457893,2.812500
742,"Arctic Wolf 2","Clan Invasion",3060,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",1511,7310893,3.714286
4214,"Arctic Wolf A","Civil War",3067,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",1587,8953000,-----
2964,"Arctic Wolf II A",Jihad,3085,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",1645,10193167,-----
2965,"Arctic Wolf II B",Jihad,3085,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",1678,9571917,-----
2966,"Arctic Wolf II C",Jihad,3085,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",1913,9738167,-----
2963,"Arctic Wolf II Prime",Jihad,3085,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",2111,9738167,-----
2962,"Arctic Wolf II [BASE]",Jihad,3085,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",660,8712667,-----
4215,"Arctic Wolf J",Jihad,3070,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",1786,9768500,-----
4213,"Arctic Wolf PRIME","Civil War",3067,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",1641,8823500,-----
4212,"Arctic Wolf [BASE]","Civil War",3067,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",619,7297500,-----
987,"Argus AGS-2D","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1566,11884800,-----
1168,"Argus AGS-4D","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1638,11843200,3.800000
4288,"Argus AGS-5D",Jihad,3071,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",2065,13697600,-----
4289,"Argus AGS-6F",Jihad,3078,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1524,9620000,-----
4736,"Argus AGS-8DX",Jihad,3074,"Inner Sphere",Biped,Advanced,60,"Catalyst Game Labs",1598,12323200,-----
4920,Arion,"Dark Age",3136,Clan,QuadVee,Advanced,35,"Catalyst Game Labs",849,5242725,-----
3781,"Assassin ""Servitor""","Civil War",3066,"Inner Sphere",Biped,Advanced,40,"Catalyst Game Labs",1019,7337563,-----
50,"Assassin ASN-101","Late Succession Wars",3024,"Inner Sphere",Biped,Introductory,40,"Catalyst Game Labs",757,3457463,2.458333
171,"Assassin ASN-21","Star League",2676,"Inner Sphere",Biped,Introductory,40,"Catalyst Game Labs",749,3686013,3.866667
535,"Assassin ASN-23","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",40,"Catalyst Game Labs",740,3840013,3.150000
1125,"Assassin ASN-30","Clan Invasion",3061,"Inner Sphere",Biped,"Tournament Legal",40,"Catalyst Game Labs",925,6305880,3.000000
3642,"Assassin ASN-30 (Alice)","Civil War",3066,"Inner Sphere",Biped,"Tournament Legal",40,"Catalyst Game Labs",1507,7332080,-----
3780,"Assassin ASN-99",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal",40,"Catalyst Game Labs",1116,7907013,-----
4262,"Atlas AS7-00 (Jurn)",Jihad,3081,"Inner Sphere",Biped,Advanced,100,"Catalyst Game Labs",2052,24764000,-----
881,"Atlas AS7-C","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2163,22756000,2.875000
882,"Atlas AS7-CM","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2036,24972000,2.642857
72,"Atlas AS7-D","Star League",2755,"Inner Sphere",Biped,Introductory,100,"Catalyst Game Labs",1897,9412000,4.108696
4000,"Atlas AS7-D (Danielle)","Late Succession Wars",3028,"Inner Sphere",Biped,Introductory,100,"Catalyst Game Labs",1976,9420000,-----
4089,"Atlas AS7-D-DC","Star League",2776,"Inner Sphere",Biped,Advanced,100,"Catalyst Game Labs",1858,10252000,-----
4552,"Atlas AS7-Dr",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2101,10300000,-----
246,"Atlas AS7-K","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2175,22372000,3.500000
3861,"Atlas AS7-K-DC","Clan Invasion",3050,"Inner Sphere",Biped,Advanced,100,"Catalyst Game Labs",2158,23252000,-----
2745,"Atlas AS7-K2",Jihad,3082,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2160,28505333,-----
4358,"Atlas AS7-K2 (Jedra)","Dark Age",3133,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",1971,28489333,-----
2746,"Atlas AS7-K3",Jihad,3083,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2346,28605333,-----
5181,"Atlas AS7-K4",Republic,3098,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2153,28731333,-----
4090,"Atlas AS7-RS","Early Succession Wars",2892,"Inner Sphere",Biped,Introductory,100,"Catalyst Game Labs",1849,9102000,-----
245,"Atlas AS7-S","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",1929,9612000,3.700000
1246,"Atlas AS7-S2","Clan Invasion",3061,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2389,18934000,3.000000
3862,"Atlas AS7-S3","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2378,18777500,-----
3985,"Atlas AS7-WGS (Samsonov)","Late Succession Wars",3025,"Inner Sphere",Biped,Introductory,100,"Catalyst Game Labs",1884,9256000,-----
3660,"Atlas AS8-D",Jihad,3074,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2432,13210000,-----
3863,"Atlas C","Clan Invasion",3050,"Inner Sphere (Mixed)",Biped,"Tournament Legal",100,"Catalyst Game Labs",2174,9852000,-----
3265,"Atlas II AS7-D-H","Star League",2765,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2169,10960000,-----
3433,"Atlas II AS7-D-H (Devlin)",Jihad,3078,"Inner Sphere (Mixed)",Biped,Advanced,100,"Catalyst Game Labs",2491,30386000,-----
4858,"Atlas II AS7-D-H (Kerensky)","Early Succession Wars",2833,Clan,Biped,"Tournament Legal",100,"Catalyst Game Labs",2777,12540000,-----
4393,"Atlas II AS7-D-H2","Star League",2780,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2340,10548000,-----
4253,"Atlas III AS7-D2",Republic,3110,"Inner Sphere (Mixed)",Biped,Advanced,100,"Catalyst Game Labs",2890,13666000,-----
4254,"Atlas III AS7-D3","Dark Age",3137,"Inner Sphere (Mixed)",Biped,Advanced,100,"Catalyst Game Labs",2564,14056000,-----
4131,"Avalanche AVL-1 [BASE]","Dark Age",3133,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",802,5190625,-----
4132,"Avalanche AVL-1O","Dark Age",3133,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1540,6165625,-----
4133,"Avalanche AVL-1OA","Dark Age",3133,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1484,6315625,-----
4134,"Avalanche AVL-1OB","Dark Age",3133,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1529,6240625,-----
4135,"Avalanche AVL-1OC","Dark Age",3133,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1341,6169375,-----
4136,"Avalanche AVL-1ON","Dark Age",3133,"Inner Sphere (Mixed)",Biped,"Tournament Legal",50,"Catalyst Game Labs",1873,6090625,-----
4137,"Avalanche AVL-1OR","Dark Age",3133,"Inner Sphere (Mixed)",Biped,"Tournament Legal",50,"Catalyst Game Labs",2043,6353125,-----
2402,"Avatar AV1 [BASE]","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",896,15103792,-----
2403,"Avatar AV1-O","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1395,17087479,3.350000
2404,"Avatar AV1-OA","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1481,16989729,3.937500
2405,"Avatar AV1-OB","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1496,17137417,3.714286
6149,"Avatar AV1-OBLO","Dark Age",3140,"Inner Sphere",Biped,"Tournament Legal (Extinct)",70,"Catalyst Game Labs",1550,19149792,-----
2406,"Avatar AV1-OC","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1406,19566292,4.100000
2598,"Avatar AV1-OD","Clan Invasion",3060,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1475,17123604,3.166667
2660,"Avatar AV1-OE","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal (Extinct)",70,"Catalyst Game Labs",1563,18686542,2.900000
2661,"Avatar AV1-OF","Civil War",3064,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1667,17556042,3.125000
2856,"Avatar AV1-OG","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1775,16378792,-----
2857,"Avatar AV1-OH",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1604,16859042,-----
3741,"Avatar AV1-OI",Jihad,3078,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1606,16916417,-----
5037,"Avatar AV1-OJ",Republic,3099,"Inner Sphere (Mixed)",Biped,"Tournament Legal",70,"Catalyst Game Labs",2223,17228792,-----
3314,"Avatar AV1-OR","Clan Invasion",3059,"Inner Sphere (Mixed)",Biped,"Tournament Legal",70,"Catalyst Game Labs",1833,17108729,-----
4810,"Avatar AV1-OU",Jihad,3077,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1359,20174042,-----
3432,"Awesome AWS-10KM",Jihad,3078,"Inner Sphere (Mixed)",Biped,"Advanced (Extinct)",80,"Catalyst Game Labs",2466,13310370,-----
4008,"Awesome AWS-11M",Jihad,3079,"Inner Sphere (Mixed)",Biped,Advanced,80,"Catalyst Game Labs",1801,10520640,-----
3591,"Awesome AWS-11R","Dark Age",3133,"Inner Sphere",Biped,Advanced,80,"Catalyst Game Labs",1878,22272120,-----
37,"Awesome AWS-8Q","Star League",2665,"Inner Sphere",Biped,Introductory,80,"Catalyst Game Labs",1605,6598170,4.535714
5147,"Awesome AWS-8Q (Buck)",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",80,"Catalyst Game Labs",1787,21037920,-----
38,"Awesome AWS-8R","Star League",2683,"Inner Sphere",Biped,Introductory,80,"Catalyst Game Labs",1470,6328170,1.208333
39,"Awesome AWS-8T","Early Succession Wars",2815,"Inner Sphere",Biped,Introductory,80,"Catalyst Game Labs",1593,6490170,2.500000
40,"Awesome AWS-8V","Late Succession Wars",2980,"Inner Sphere",Biped,Introductory,80,"Catalyst Game Labs",1510,6373170,2.884615
410,"Awesome AWS-9M","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",80,"Catalyst Game Labs",1812,17992920,2.350000
3598,"Awesome AWS-9Ma","Clan Invasion",3051,"Inner Sphere",Biped,Advanced,80,"Catalyst Game Labs",1836,19106850,-----
3638,"Awesome AWS-9Md",Jihad,3071,"Inner Sphere",Biped,Experimental,80,"Catalyst Game Labs",1702,17713920,-----
846,"Awesome AWS-9Q","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",80,"Catalyst Game Labs",1875,7456050,3.857143
3839,"Awesome AWS-9Q (Klatt)",Jihad,3071,"Inner Sphere",Biped,"Tournament Legal",80,"Catalyst Game Labs",1805,7554600,-----
1936,"Axman AXM-1N","Late Succession Wars",3048,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1374,11807510,3.000000
363,"Axman AXM-2N","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1458,11890010,3.000000
1174,"Axman AXM-3S","Clan Invasion",3060,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1649,10674180,3.833333
4755,"Axman AXM-3Sr",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1734,13505580,-----
3816,"Axman AXM-4D",Jihad,3071,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1222,11604560,-----
3419,"Axman AXM-6T",Jihad,3083,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1830,17407885,-----
4065,"Axman AXM-6X",Jihad,3074,"Inner Sphere (Mixed)",Biped,Advanced,65,"Catalyst Game Labs",2132,22683760,-----
450,"Baboon (Howler)","Early Succession Wars",2871,Clan,Biped,"Tournament Legal",20,"Catalyst Game Labs",645,1718240,1.611111
2776,"Baboon (Howler) 2","Civil War",3063,Clan,Biped,"Tournament Legal",20,"Catalyst Game Labs",757,2538240,-----
3096,"Baboon (Howler) 3 ""Devil""","Civil War",3066,Clan,Biped,"Tournament Legal",20,"Catalyst Game Labs",1277,2622240,-----
3315,"Bakeneko BNK-1K",Republic,3100,"Inner Sphere (Mixed)",Biped,Advanced,55,"Catalyst Game Labs",1976,13233590,-----
3256,"Balius A",Jihad,3075,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",2201,20300156,-----
3257,"Balius B",Jihad,3075,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",2029,20005219,-----
3258,"Balius C",Jihad,3075,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",2103,20176406,-----
3259,"Balius D",Jihad,3075,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",2417,20956031,-----
4975,"Balius E",Republic,3127,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",2156,20980781,-----
3255,"Balius PRIME",Jihad,3075,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",2157,19834031,-----
4848,"Balius U",Jihad,3077,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",2014,20826094,-----
3254,"Balius [BASE]",Jihad,3075,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",1001,18464531,-----
660,"Bandersnatch BNDR-01A","Clan Invasion",3052,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1478,15671250,3.333333
3652,"Bandersnatch BNDR-01A (Horus)","Clan Invasion",3061,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1584,15449875,-----
